Domain (BLEU),BLEU Average,Domain (METEOR),METEOR Average,Domain (BERT-F1),BERT-F1 Average
News,44.23689727909642,Technology,0.7457541840895598,News,0.9048799037933349
Technology,38.03076247007607,News,0.7383170944252443,Technology,0.9035419742266337
Law,36.036872330224284,Law,0.6546857887906599,Law,0.8818585097789764
Marketing,31.35103762472992,Medicine,0.6340338873929788,Marketing (long-form),0.8742179274559021
Marketing (long-form),29.047487179273837,Agriculture,0.6305625644655883,Medicine,0.8702081004778545
Medicine,27.486338015415654,Marketing,0.6122410397983206,Marketing,0.868870759010315
Agriculture,25.015649743069464,Marketing (long-form),0.5601750383932147,Agriculture,0.8597222208976746
Nonfiction,20.73488217203732,Nonfiction,0.5176730822623345,Nonfiction,0.8535632014274597
Social Media Post,13.844411849819945,Social Media Post,0.43971159367239715,Fiction,0.8008717715740203
Fiction,7.9890105174439565,Fiction,0.38300120368485835,Social Media Post,0.7769516319036484
