Text,Domain,Service,BLEU,METEOR,BERT-Precision,BERT-Recall,BERT-F1
fiction_1,Fiction,Google Translate,37.83236242312411,0.7473440514469454,0.904184103012085,0.8963706493377686,0.9002604484558105
fiction_1,Fiction,DeepL,49.834987954121715,0.7667582242403033,0.9007680416107178,0.9041913747787476,0.9024764895439148
fiction_1,Fiction,Yandex Translate,41.98421108983551,0.7644849785407726,0.9079446792602539,0.8936331868171692,0.9007321000099182
fiction_1,Fiction,Microsoft Translator,40.32013363783873,0.774866975122822,0.9026395082473755,0.9014848470687866,0.9020617604255676
fiction_2,Fiction,Google Translate,41.42634225595008,0.7578813618495629,0.9148204326629639,0.9146707057952881,0.914745569229126
fiction_2,Fiction,DeepL,41.18517014588316,0.7829061297334182,0.908033549785614,0.9171984195709229,0.9125929474830627
fiction_2,Fiction,Yandex Translate,48.59056169603736,0.8026399804125839,0.9247137904167175,0.9276028275489807,0.9261560440063477
fiction_2,Fiction,Microsoft Translator,31.533954151462723,0.7336969571071995,0.895368218421936,0.9025565385818481,0.8989480137825012
legal_1,Law,Google Translate,43.50182851947699,0.6992077174819115,0.9158918261528015,0.9182099103927612,0.9170494079589844
legal_1,Law,DeepL,57.75299300860647,0.7938877986437506,0.9359520673751831,0.9356553554534912,0.9358036518096924
legal_1,Law,Yandex Translate,44.370425128951915,0.7026355331399606,0.9272289276123047,0.9190638661384583,0.9231284260749817
legal_1,Law,Microsoft Translator,52.69961287270813,0.7896603102209884,0.9331110119819641,0.9364576935768127,0.9347813725471497
legal_2,Law,Google Translate,41.5055564940994,0.6786557716626087,0.8752788305282593,0.8577892780303955,0.866445779800415
legal_2,Law,DeepL,50.342349113635656,0.7066841854266741,0.8852226734161377,0.873274028301239,0.8792077302932739
legal_2,Law,Yandex Translate,39.11827614585283,0.659338653175214,0.9144062995910645,0.8955751657485962,0.9048928022384644
legal_2,Law,Microsoft Translator,22.574246638561426,0.33594054838785836,0.9011697769165039,0.8244947791099548,0.8611288666725159
legal_3,Law,Google Translate,31.194367706840403,0.6482782252844985,0.8882961273193359,0.8988513350486755,0.8935425281524658
legal_3,Law,DeepL,42.67316950862008,0.6329607645012334,0.9168276786804199,0.9240125417709351,0.9204061031341553
legal_3,Law,Yandex Translate,43.19647454073486,0.6528965920597524,0.9178117513656616,0.9249162077903748,0.9213503003120422
legal_3,Law,Microsoft Translator,50.37383909445749,0.8030686419320546,0.914645254611969,0.9252248406410217,0.9199046492576599
med_1,Medicine,Google Translate,55.297821749296126,0.8763113249960494,0.9520120620727539,0.9621973633766174,0.9570776224136353
med_1,Medicine,DeepL,44.73618719508445,0.8203421332567945,0.9343365430831909,0.9454384446144104,0.9398546814918518
med_1,Medicine,Yandex Translate,44.071300939476735,0.8416513198327039,0.937138557434082,0.9504228234291077,0.9437339901924133
med_1,Medicine,Microsoft Translator,49.53381632066711,0.8646405347788358,0.9530700445175171,0.956121027469635,0.9545930624008179
med_2,Medicine,Google Translate,59.05765323025638,0.867418558355445,0.949500322341919,0.9421753883361816,0.9458237290382385
med_2,Medicine,DeepL,50.76781398096198,0.8400288647619277,0.943884015083313,0.9328435659408569,0.9383313059806824
med_2,Medicine,Yandex Translate,50.42999819325143,0.8158112840987068,0.9239736795425415,0.9215685725212097,0.9227696061134338
med_2,Medicine,Microsoft Translator,73.01862722515578,0.9028775604833211,0.956542432308197,0.9485655426979065,0.9525372982025146
news_1,News,Google Translate,48.16383577796793,0.8660247971339777,0.9561066031455994,0.9573370814323425,0.9567214250564575
news_1,News,DeepL,66.10740210196059,0.9410614498365746,0.9861912727355957,0.9872614145278931,0.9867260456085205
news_1,News,Yandex Translate,57.84616319244573,0.9358765382672272,0.9643690586090088,0.9654570817947388,0.9649127125740051
news_1,News,Microsoft Translator,59.075967340051044,0.9382929642445214,0.973720908164978,0.9663171768188477,0.9700049161911011
news_2,News,Google Translate,35.490718687794235,0.7036158264372295,0.8449091911315918,0.843691885471344,0.8443000912666321
news_2,News,DeepL,38.317751232020434,0.7333685438260603,0.9104561805725098,0.9136541485786438,0.9120523929595947
news_2,News,Yandex Translate,38.635327866336254,0.7062119679812691,0.9099501371383667,0.9082998037338257,0.9091241955757141
news_2,News,Microsoft Translator,42.15735480014033,0.7719866925116843,0.9148674011230469,0.9153950214385986,0.9151310920715332
nonfic_1,Nonfiction,Google Translate,40.998738745308124,0.6512824916987128,0.8606100082397461,0.8361346125602722,0.8481957912445068
nonfic_1,Nonfiction,DeepL,41.29507000817073,0.6452363539658267,0.8569294214248657,0.8323076367378235,0.8444390296936035
nonfic_1,Nonfiction,Yandex Translate,35.3195025462496,0.611276586291887,0.85347980260849,0.827086329460144,0.8400758504867554
nonfic_1,Nonfiction,Microsoft Translator,41.0782905003984,0.6308136768246482,0.8568785190582275,0.8313575387001038,0.8439251780509949
nonfic_2,Nonfiction,Google Translate,41.06959272811076,0.7979771505376344,0.8459814786911011,0.8711999654769897,0.858405590057373
nonfic_2,Nonfiction,DeepL,53.98958953779461,0.8561336636916776,0.8665874600410461,0.8924431800842285,0.879325270652771
nonfic_2,Nonfiction,Yandex Translate,37.8773003630699,0.804166874269103,0.8474630117416382,0.8761275410652161,0.861556887626648
nonfic_2,Nonfiction,Microsoft Translator,49.31530315418746,0.8496702010552942,0.8607124090194702,0.8886492252349854,0.8744577765464783
